Index,No,movie,week_at_Top10,hours_seen,duration,views
9,10,F9: The Fast Saga,2,4160000,00:00:00,0
0,1,The Mother,3,34690000,00:00:00,0
1,2,2 Hearts,1,19280000,00:00:00,0
2,3,Missing,2,15930000,00:00:00,0
3,4,The Son,1,7940000,00:00:00,0
4,5,The Great Wall,2,7690000,00:00:00,0
5,6,Victim/Suspect,1,6600000,00:00:00,0
6,7,Ted,2,5750000,00:00:00,0
7,8,Anna Nicole Smith: You Don't Know Me,2,5550000,00:00:00,0
8,9,The Boss Baby,5,5450000,00:00:00,0
9,10,A Man Called Otto,4,5350000,00:00:00,0
0,1,The Mother,2,94420000,00:00:00,0
1,2,Anna Nicole Smith: You Don't Know Me,1,15650000,00:00:00,0
2,3,Ted,1,11210000,00:00:00,0
3,4,A Man Called Otto,3,10640000,00:00:00,0
4,5,Synchronic,2,6990000,00:00:00,0
5,6,Missing,1,5220000,00:00:00,0
6,7,Harry Potter and the Sorcerer's Stone,1,4790000,00:00:00,0
7,8,The Croods,5,4280000,00:00:00,0
8,9,UglyDolls,1,3820000,00:00:00,0
9,10,The Healer,1,3330000,00:00:00,0
0,1,The Mother,1,83710000,00:00:00,0
1,2,A Man Called Otto,2,19880000,00:00:00,0
2,3,The Croods,4,8700000,00:00:00,0
3,4,The Deep End of the Ocean,2,6420000,00:00:00,0
4,5,Synchronic,1,5930000,00:00:00,0
5,6,Kung Fu Panda 3,3,5750000,00:00:00,0
6,7,Wrong Place,2,5580000,00:00:00,0
7,8,The Tournament,2,4880000,00:00:00,0
8,9,Pitch Perfect,2,4580000,00:00:00,0
9,10,Heat,2,4520000,00:00:00,0
0,1,A Man Called Otto,1,13480000,00:00:00,0
1,2,Pitch Perfect,1,11440000,00:00:00,0
2,3,The Deep End of the Ocean,1,10200000,00:00:00,0
3,4,Wrong Place,1,9690000,00:00:00,0
4,5,The Dilemma,1,6830000,00:00:00,0
5,6,The Croods,3,6560000,00:00:00,0
6,7,The Tournament,1,6520000,00:00:00,0
7,8,A Tourist's Guide to Love,3,6200000,00:00:00,0
8,9,A Quiet Place Part II,2,5750000,00:00:00,0
9,10,The Father,1,5070000,00:00:00,0
0,1,A Tourist's Guide to Love,2,20920000,00:00:00,0
1,2,Whitney Houston: I Wanna Dance with Somebody,2,10200000,00:00:00,0
2,3,The Last Kingdom: Seven Kings Must Die,3,8340000,00:00:00,0
3,4,Let Him Go,2,7240000,00:00:00,0
4,5,Murder Mystery 2,5,6150000,00:00:00,0
5,6,Sing 2,9,4500000,00:00:00,0
6,7,Chupa,4,4300000,00:00:00,0
7,8,Dr. Seuss' The Lorax,3,3830000,00:00:00,0
8,9,Time Trap,1,3700000,00:00:00,0
9,10,Paw Patrol: The Movie,3,3300000,00:00:00,0
0,1,The Last Kingdom: Seven Kings Must Die,2,25700000,00:00:00,0
1,2,Let Him Go,1,14110000,00:00:00,0
2,3,A Tourist's Guide to Love,1,13400000,00:00:00,0
3,4,Murder Mystery 2,4,8390000,00:00:00,0
4,5,Chupa,3,8030000,00:00:00,0
5,6,The Snowman,1,7170000,00:00:00,0
6,7,Whitney Houston: I Wanna Dance with Somebody,1,6700000,00:00:00,0
7,8,Mighty Morphin Power Rangers: Once & Always,1,6550000,00:00:00,0
8,9,F9: The Fast Saga,1,6540000,00:00:00,0
9,10,Dr. Seuss' The Lorax,2,4430000,00:00:00,0
0,1,The Last Kingdom: Seven Kings Must Die,1,35500000,00:00:00,0
1,2,Chupa,2,27290000,00:00:00,0
2,3,Murder Mystery 2,3,16930000,00:00:00,0
3,4,Trolls World Tour,1,9360000,00:00:00,0
4,5,Noah,3,8380000,00:00:00,0
5,6,The Last Stand,1,8180000,00:00:00,0
6,7,Home,2,8070000,00:00:00,0
7,8,Matilda,2,6910000,00:00:00,0
8,9,Murder Mystery,4,6690000,00:00:00,0
9,10,Dr. Seuss' The Lorax,1,5890000,00:00:00,0
0,1,Murder Mystery 2,2,59840000,00:00:00,0
1,2,Chupa,1,25310000,00:00:00,0
2,3,Murder Mystery,3,22250000,00:00:00,0
3,4,Noah,2,13500000,00:00:00,0
4,5,Home,1,10350000,00:00:00,0
5,6,The Bourne Legacy,2,9110000,00:00:00,0
6,7,Shark Tale,1,8050000,00:00:00,0
7,8,Over the Hedge,1,7940000,00:00:00,0
8,9,Luther: The Fallen Sun,5,7530000,00:00:00,0
9,10,Matilda,1,7420000,00:00:00,0
0,1,Murder Mystery 2,1,64420000,00:00:00,0
1,2,Murder Mystery,2,24690000,00:00:00,0
2,3,Luther: The Fallen Sun,4,12700000,00:00:00,0
3,4,I See You,2,8280000,00:00:00,0
4,5,The Magician's Elephant,3,6330000,00:00:00,0
5,6,Minions: The Rise of Gru,6,3540000,00:00:00,0
6,7,Hotel Transylvania 2,3,3260000,00:00:00,0
7,8,Dragged Across Concrete,3,3240000,00:00:00,0
8,9,Trolls,6,3210000,00:00:00,0
9,10,The Bourne Legacy,1,3200000,00:00:00,0
0,1,Luther: The Fallen Sun,3,24700000,00:00:00,0
1,2,The Magician's Elephant,2,16730000,00:00:00,0
2,3,I See You,1,10830000,00:00:00,0
3,4,Dragged Across Concrete,2,9310000,00:00:00,0
4,5,Money Shot: The Pornhub Story,2,5000000,00:00:00,0
5,6,Murder Mystery,1,4490000,00:00:00,0
6,7,Perfume: The Story of a Murderer,1,4450000,00:00:00,0
