Index,No,movie,week_at_Top10,hours_seen,duration,views
0,1,The Guilty,1,47600000,00:00:00,0
1,2,My Little Pony: A New Generation,2,24510000,00:00:00,0
2,3,The Starling,2,20130000,00:00:00,0
3,4,No One Gets Out Alive,1,17010000,00:00:00,0
4,5,Britney Vs Spears,1,16750000,00:00:00,0
5,6,Intrusion,2,12050000,00:00:00,0
6,7,Grown Ups,2,8130000,00:00:00,0
7,8,Kate,4,5680000,00:00:00,0
8,9,Man on Fire,3,4960000,00:00:00,0
9,10,Vivo,7,4160000,00:00:00,0
0,1,Intrusion,1,30040000,00:00:00,0
1,2,The Starling,1,16670000,00:00:00,0
2,3,My Little Pony: A New Generation,1,15510000,00:00:00,0
3,4,Man on Fire,2,12590000,00:00:00,0
4,5,Kate,3,11280000,00:00:00,0
5,6,Grown Ups,1,9250000,00:00:00,0
6,7,Schumacher,2,8040000,00:00:00,0
7,8,Safe House,2,6930000,00:00:00,0
8,9,Nightbooks,2,6790000,00:00:00,0
9,10,The Marksman,2,5210000,00:00:00,0
0,1,Kate,2,37400000,00:00:00,0
1,2,Schumacher,1,17290000,00:00:00,0
2,3,Man on Fire,1,16160000,00:00:00,0
3,4,The Marksman,1,14680000,00:00:00,0
4,5,Nightbooks,1,13160000,00:00:00,0
5,6,The Equalizer 2,1,12310000,00:00:00,0
6,7,Firedrake the Silver Dragon,1,9650000,00:00:00,0
7,8,Safe House,1,9060000,00:00:00,0
8,9,Afterlife of the Party,3,8100000,00:00:00,0
9,10,First Kill,1,6950000,00:00:00,0
0,1,Kate,1,38780000,00:00:00,0
1,2,Afterlife of the Party,2,23790000,00:00:00,0
2,3,Worth,2,13560000,00:00:00,0
3,4,He's All That,3,10930000,00:00:00,0
4,5,SAS: Rise of the Black Swan,3,9930000,00:00:00,0
5,6,In Time,1,8930000,00:00:00,0
6,7,Noah,1,7770000,00:00:00,0
7,8,Vivo,6,6960000,00:00:00,0
8,9,Sweet Girl,4,6570000,00:00:00,0
9,10,Monte Carlo,1,6200000,00:00:00,0
0,1,He's All That,2,36730000,00:00:00,0
1,2,SAS: Rise of the Black Swan,2,32730000,00:00:00,0
2,3,Afterlife of the Party,1,26710000,00:00:00,0
3,4,Sweet Girl,3,13390000,00:00:00,0
4,5,Vivo,5,9380000,00:00:00,0
5,6,The Loud House Movie,3,6640000,00:00:00,0
6,7,Worth,1,6480000,00:00:00,0
7,8,The Secret Life of Pets,3,6450000,00:00:00,0
8,9,Welcome Home Roscoe Jenkins,1,6270000,00:00:00,0
9,10,Green Lantern,1,6230000,00:00:00,0
0,1,Sweet Girl,2,48140000,00:00:00,0
1,2,He's All That,1,42810000,00:00:00,0
2,3,SAS: Rise of the Black Swan,1,35650000,00:00:00,0
3,4,The Loud House Movie,2,16910000,00:00:00,0
4,5,The Old Ways,1,13720000,00:00:00,0
5,6,Vivo,4,13430000,00:00:00,0
6,7,The Witcher: Nightmare of the Wolf,1,13300000,00:00:00,0
7,8,The Secret Life of Pets,2,10860000,00:00:00,0
8,9,The Kissing Booth 3,3,9560000,00:00:00,0
9,10,Tomb Raider,1,8430000,00:00:00,0
0,1,Sweet Girl,1,57160000,00:00:00,0
1,2,The Kissing Booth 3,2,26170000,00:00:00,0
2,3,Beckett,2,23870000,00:00:00,0
3,4,Vivo,3,21960000,00:00:00,0
4,5,The Loud House Movie,1,13860000,00:00:00,0
5,6,The Secret Life of Pets,1,10110000,00:00:00,0
6,7,Hotel Transylvania 3: Summer Vacation,3,8550000,00:00:00,0
7,8,The Girl Next Door,1,6900000,00:00:00,0
8,9,Alvin and the Chipmunks: Chipwrecked,1,6870000,00:00:00,0
9,10,Resort to Love,4,6320000,00:00:00,0
0,1,The Kissing Booth 3,1,90860000,00:00:00,0
1,2,Vivo,2,37050000,00:00:00,0
2,3,Beckett,1,23580000,00:00:00,0
3,4,Hotel Transylvania 3: Summer Vacation,2,21460000,00:00:00,0
4,5,Aftermath,2,15870000,00:00:00,0
5,6,Resort to Love,3,9860000,00:00:00,0
6,7,The Kissing Booth,1,8590000,00:00:00,0
7,8,The Kissing Booth 2,1,8370000,00:00:00,0
8,9,Dead Man Down,2,7580000,00:00:00,0
9,10,Untold: Malice at the Palace,1,6450000,00:00:00,0
0,1,Aftermath,1,24200000,00:00:00,0
1,2,Resort to Love,2,23480000,00:00:00,0
2,3,Vivo,1,21940000,00:00:00,0
3,4,The Vault,1,10870000,00:00:00,0
4,5,The Losers,1,8040000,00:00:00,0
5,6,The Last Letter From Your Lover,3,6850000,00:00:00,0
6,7,Hotel Transylvania 3: Summer Vacation,1,6250000,00:00:00,0
7,8,Dead Man Down,1,5840000,00:00:00,0
8,9,Wish Dragon,5,5150000,00:00:00,0
9,10,World Trade Center,1,5050000,00:00:00,0
0,1,Resort to Love,1,28050000,00:00:00,0
1,2,The Last Letter From Your Lover,2,18890000,00:00:00,0
2,3,Trollhunters: Rise of the Titans,2,8960000,00:00:00,0
3,4,Fear Street Part 1: 1994,5,6570000,00:00:00,0
4,5,Wish Dragon,4,6290000,00:00:00,0
5,6,Fear Street Part 3: 1666,3,6190000,00:00:00,0
6,7,Twilight,3,5840000,00:00:00,0
7,8,Fear Street Part 2: 1978,4,5840000,00:00:00,0
8,9,The Twilight Saga: Breaking Dawn: Part 2,2,5200000,00:00:00,0
9,10,The Twilight Saga: New Moon,2,5030000,00:00:00,0
0,1,Trollhunters: Rise of the Titans,1,16130000,00:00:00,0
1,2,The Last Letter From Your Lover,1,13140000,00:00:00,0
2,3,Twilight,2,12550000,00:00:00,0
3,4,Fear Street Part 3: 1666,2,12350000,00:00:00,0
4,5,The Twilight Saga: New Moon,1,10320000,00:00:00,0
5,6,Fear Street Part 1: 1994,4,9240000,00:00:00,0
6,7,The Twilight Saga: Breaking Dawn: Part 2,1,9240000,00:00:00,0
7,8,The Twilight Saga: Eclipse,1,9220000,00:00:00,0
8,9,Fear Street Part 2: 1978,3,9100000,00:00:00,0
9,10,The Twilight Saga: Breaking Dawn: Part 1,1,8250000,00:00:00,0
0,1,Fear Street Part 3: 1666,1,20080000,00:00:00,0
1,2,Fear Street Part 2: 1978,2,16820000,00:00:00,0
2,3,Fear Street Part 1: 1994,3,14370000,00:00:00,0
3,4,Gunpowder Milkshake,1,11770000,00:00:00,0
4,5,The Water Man,1,11630000,00:00:00,0
5,6,This Little Love of Mine,2,8810000,00:00:00,0
6,7,Wish Dragon,3,8550000,00:00:00,0
7,8,Fatherhood,3,7790000,00:00:00,0
8,9,Twilight,1,7640000,00:00:00,0
9,10,Rust Creek,1,6560000,00:00:00,0
0,1,Fear Street Part 1: 1994,2,19550000,00:00:00,0
1,2,Fear Street Part 2: 1978,1,16060000,00:00:00,0
2,3,Fatherhood,2,12830000,00:00:00,0
3,4,Warcraft,2,10990000,00:00:00,0
4,5,Wish Dragon,2,10590000,00:00:00,0
5,6,This Little Love of Mine,1,9390000,00:00:00,0
6,7,Mother's Day,1,9200000,00:00:00,0
7,8,How to Train Your Dragon: The Hidden World,1,9030000,00:00:00,0
8,9,Kung Fu Panda 3,2,8870000,00:00:00,0
9,10,The Huntsman: Winter's War,1,7460000,00:00:00,0
