Index,No,movie,week_at_Top10
1,2,Our Father,1
2,3,Doctor Sleep,1
3,4,Hairspray,1
4,5,Gods of Egypt,2
5,6,She's All That,1
6,7,Marmaduke,1
7,8,Knuckle,1
8,9,The Takedown,2
9,10,Lord of War,2
0,1,Gods of Egypt,1
1,2,365 Days: This Day,2
2,3,1408,1
3,4,The Mystery of Marilyn Monroe: The Unheard Tapes,2
4,5,Blade Runner 2049,1
5,6,Piranha,1
6,7,See for Me,1
7,8,Lord of War,1
8,9,3 From Hell,1
9,10,The Takedown,1
0,1,365 Days: This Day,1
1,2,The Mystery of Marilyn Monroe: The Unheard Tapes,1
2,3,Lockout,1
3,4,Gangubai Kathiawadi,1
4,5,Silverton Siege,1
5,6,How It Ends,3
6,7,Sonic the Hedgehog,8
7,8,365 Days,1
8,9,The King of Staten Island,2
9,10,The Adam Project,8
0,1,The King of Staten Island,1
1,2,Choose or Die,2
2,3,White Hot: The Rise & Fall of Abercrombie & Fitch,1
3,4,How It Ends,2
4,5,Sonic the Hedgehog,7
5,6,Joker,2
6,7,Grown Ups,5
7,8,The Adam Project,7
8,9,The In Between,3
9,10,Grown Ups 2,3
0,1,Joker,1
1,2,The In Between,2
2,3,How It Ends,1
3,4,Choose or Die,1
4,5,Sonic the Hedgehog,6
5,6,The Adventures of Sharkboy and Lavagirl,2
6,7,Hop,1
7,8,Return to Space,1
8,9,Grown Ups,4
9,10,The Adam Project,6
0,1,The Women,2
1,2,The In Between,1
2,3,Grown Ups,3
3,4,Grown Ups 2,2
4,5,The Adventures of Sharkboy and Lavagirl,1
5,6,The Bubble,2
6,7,Case 39,1
7,8,Kung Fu Panda,1
8,9,The Adam Project,5
9,10,Sonic the Hedgehog,5
0,1,Grown Ups,2
1,2,Grown Ups 2,1
2,3,Trust No One: The Hunt for the Crypto King,1
3,4,The Women,1
4,5,The Kitchen,1
5,6,The Bubble,1
6,7,The Adam Project,4
7,8,Boiling Point,2
8,9,6 Underground,1
9,10,Sonic the Hedgehog,4
0,1,The Adam Project,3
1,2,Boiling Point,1
2,3,Black Crab,2
3,4,Windfall,2
4,5,A Violent Man,1
5,6,Grown Ups,1
6,7,Rescued by Ruby,2
7,8,One for the Money,1
8,9,17 Again,3
9,10,'83,1
0,1,The Adam Project,2
1,2,17 Again,2
2,3,It Chapter Two,2
3,4,Black Crab,1
4,5,Rescued by Ruby,1
5,6,The Weekend Away,3
6,7,Trolls World Tour,3
7,8,Alvin and the Chipmunks: Chipwrecked,2
8,9,The Informer,2
9,10,Windfall,1
0,1,The Adam Project,1
1,2,The Informer,1
2,3,The Weekend Away,2
3,4,17 Again,1
4,5,Alvin and the Chipmunks: The Squeakquel,1
5,6,Trolls World Tour,2
6,7,Alvin and the Chipmunks: Chipwrecked,1
7,8,Meet the Fockers,2
8,9,It Chapter Two,1
9,10,Patriots Day,1
0,1,The Weekend Away,1
1,2,Trolls World Tour,1
2,3,Against The Ice,1
3,4,Save the Last Dance,1
4,5,A Madea Homecoming,2
5,6,Spider-Man 2,1
6,7,The Tinder Swindler,5
7,8,Meet the Fockers,1
8,9,Alive,1
9,10,Restless,1
0,1,13 Minutes,2
1,2,The Tinder Swindler,4
2,3,A Madea Homecoming,1
3,4,Downfall: The Case Against Boeing,2
4,5,Texas Chainsaw Massacre,2
5,6,Brahms: The Boy II,1
6,7,Rise of the Footsoldier: Marbella,1
7,8,The Bad Education Movie,1
8,9,Wanderlust,1
9,10,Battleship,2
0,1,The Tinder Swindler,3
1,2,Texas Chainsaw Massacre,1
2,3,Tall Girl 2,2
3,4,The Kill Team,1
4,5,Fistful of Vengeance,1
5,6,Downfall: The Case Against Boeing,1
6,7,13 Minutes,1
7,8,Last Man Down,1
8,9,Battleship,1
9,10,The Hunt,3
0,1,The Tinder Swindler,2
1,2,The Hunt,2
2,3,Tall Girl 2,1
3,4,The Heartbreak Kid,1
4,5,Through My Window,1
5,6,Sicario,1
6,7,The Privilege,1
7,8,The Invisible Man,3
8,9,Hachi: A Dog's Tale,1
9,10,The Power of the Dog,2
0,1,The Tinder Swindler,1
1,2,The Invisible Man,2
2,3,Blumhouse's Fantasy Island,2
3,4,Home Team,2
4,5,Meet the Parents,1
5,6,My Best Friend Anne Frank,1
6,7,The Peacemaker,1
7,8,Munich – The Edge of War,3
8,9,Black Hawk Down,1
9,10,The Hunt,1
0,1,Munich – The Edge of War,2
1,2,The Royal Treatment,2
2,3,The Invisible Man,1
3,4,Blumhouse's Fantasy Island,1
4,5,Home Team,1
5,6,The Gentlemen,4
6,7,Don't Look Up,6
7,8,Dolittle,2
8,9,Emma.,1
9,10,Aileen Wuornos: American Boogeywoman,1
0,1,The Royal Treatment,1
1,2,Munich – The Edge of War,1
2,3,Sniper: Assassin's End,2
3,4,Dolittle,1
4,5,Brazen,2
5,6,The Gentlemen,3
6,7,Don't Look Up,5
7,8,Annabelle Comes Home,1
8,9,Greed,1
9,10,Wild Bill,1
0,1,The Gentlemen,2
1,2,Brazen,1
2,3,Don't Look Up,4
3,4,Mother/Android,2
4,5,The Hobbit: An Unexpected Journey,2
5,6,The Hobbit: The Desolation of Smaug,2
6,7,The Hobbit: The Battle of the Five Armies,2
7,8,Sniper: Assassin's End,1
8,9,The Lost Daughter,3
9,10,The Shack,2
0,1,The Gentlemen,1
1,2,Don't Look Up,3
2,3,The Lost Daughter,2
3,4,The Hobbit: An Unexpected Journey,1
4,5,Mother/Android,1
5,6,The Shack,1
6,7,She's the Man,1
7,8,The Hobbit: The Desolation of Smaug,1
8,9,The Hobbit: The Battle of the Five Armies,1
9,10,Fracture,1
0,1,Don't Look Up,2
1,2,Death to 2021,1
2,3,The Unforgivable,4
3,4,The Lost Daughter,1
4,5,Spider-Man: Homecoming,3
5,6,Silent Hours,1
6,7,Back to the Outback,3
7,8,The Amazing Spider-Man,3
8,9,The Amazing Spider-Man 2,3
9,10,Red Notice,6
0,1,Don't Look Up,1
1,2,Spider-Man: Homecoming,2
2,3,Love Actually,5
3,4,Back to the Outback,2
4,5,The Unforgivable,3
5,6,The Christmas Chronicles,6
6,7,The Holiday,3
7,8,The Amazing Spider-Man,2
8,9,The Christmas Chronicles: Part Two,2
9,10,Nativity!,3
0,1,The Unforgivable,2
1,2,Bad Boys for Life,2
2,3,Back to the Outback,1
3,4,Love Actually,4
4,5,Spider-Man: Homecoming,1
5,6,The Holiday,2
6,7,Nativity!,2
7,8,The Christmas Chronicles,5
8,9,A California Christmas: City Lights,1
9,10,The Christmas Chronicles: Part Two,1
0,1,The Unforgivable,1
1,2,Bad Boys for Life,1
2,3,Villain,2
3,4,Love Actually,3
4,5,Single All The Way,2
5,6,The Christmas Chronicles,4
6,7,Nativity!,1
7,8,Sonic the Hedgehog,3
8,9,The Holiday,1
9,10,Red Notice,5
0,1,Sonic the Hedgehog,2
1,2,Villain,1
2,3,A Castle For Christmas,2
3,4,14 Peaks: Nothing Is Impossible,1
4,5,Red Notice,4
5,6,Single All The Way,1
6,7,The Power of the Dog,1
7,8,Bruised,2
8,9,Constantine,1
9,10,The Christmas Chronicles,3
0,1,Red Notice,3
1,2,Bruised,1
2,3,Blue Story,2
3,4,Sonic the Hedgehog,1
4,5,21 Bridges,1
5,6,A Castle For Christmas,1
6,7,Little Women,1
7,8,The Girl with the Dragon Tattoo,1
8,9,Love Actually,2
9,10,The Christmas Chronicles,2
0,1,Red Notice,2
1,2,Pokémon Detective Pikachu,1
2,3,The Princess Switch 3: Romancing the Star,1
3,4,Love Hard,3
4,5,Blue Story,1
5,6,Jumanji: The Next Level,3
6,7,Love Actually,1
7,8,ID2: Shadwell Army,1
8,9,The Harder They Fall,3
9,10,The Christmas Chronicles,1
0,1,Red Notice,1
1,2,Love Hard,2
2,3,Jumanji: The Next Level,2
3,4,The Harder They Fall,2
4,5,Father Christmas Is Back,1
5,6,Army of Thieves,3
