Index,No,movie,week_at_Top10
1,2,Escape Room: Tournament Of Champions,1
2,3,Heatwave,1
3,4,Kung Fu Panda 3,1
4,5,Nobody,4
5,6,Freaky,1
6,7,Heat,1
7,8,Tu Jhoothi Main Makkaar,1
8,9,23 Walks,1
9,10,Jumanji: The Next Level,4
0,1,Nobody,3
1,2,AKA,1
2,3,A Tourist's Guide to Love,2
3,4,Running with the Devil,1
4,5,The Last Kingdom: Seven Kings Must Die,3
5,6,2 Hearts,2
6,7,Home,5
7,8,Murder Mystery 2,5
8,9,Luther: The Fallen Sun,6
9,10,Wasteland,2
0,1,Nobody,2
1,2,2 Hearts,1
2,3,The Last Kingdom: Seven Kings Must Die,2
3,4,Home,4
4,5,Murder Mystery 2,4
5,6,Lewis Capaldi: How I'm Feeling Now,3
6,7,A Tourist's Guide to Love,1
7,8,Wasteland,1
8,9,Shehzada,1
9,10,Phenomena,1
0,1,Nobody,1
1,2,The Last Kingdom: Seven Kings Must Die,1
2,3,Lewis Capaldi: How I'm Feeling Now,2
3,4,Chupa,2
4,5,Home,3
5,6,Murder Mystery 2,3
6,7,Monster Hunter,2
7,8,Hunger,1
8,9,Noah,2
9,10,Luther: The Fallen Sun,5
0,1,Lewis Capaldi: How I'm Feeling Now,1
1,2,Murder Mystery 2,2
2,3,Home,2
3,4,Monster Hunter,1
4,5,Murder Mystery,3
5,6,The Whole Truth,1
6,7,Noah,1
7,8,The Deep House,2
8,9,Colors of Love,1
9,10,Chupa,1
0,1,Murder Mystery 2,1
1,2,Murder Mystery,2
2,3,A Quiet Place Part II,1
3,4,Luther: The Fallen Sun,4
4,5,Home,1
5,6,Hotel Transylvania 3: Summer Vacation,3
6,7,Fall,5
7,8,The Deep House,1
8,9,Hotel Transylvania,2
9,10,Thirteen,1
0,1,Luther: The Fallen Sun,3
1,2,Hotel Transylvania 3: Summer Vacation,2
2,3,Fall,4
3,4,The Magician's Elephant,2
4,5,Noise,1
5,6,Murder Mystery,1
6,7,Marmaduke,2
7,8,Sing,12
8,9,Hotel Transylvania,1
9,10,Money Shot: The Pornhub Story,2
0,1,Luther: The Fallen Sun,2
1,2,Fall,3
2,3,The Clovehitch Killer,2
3,4,Money Shot: The Pornhub Story,1
4,5,Marmaduke,1
5,6,Zombieland: Double Tap,3
6,7,Faraway,2
7,8,Hotel Transylvania 3: Summer Vacation,1
8,9,The Magician's Elephant,1
9,10,Sing,11
0,1,Luther: The Fallen Sun,1
1,2,Fall,2
2,3,The Clovehitch Killer,1
3,4,We Have a Ghost,3
4,5,The Unholy,2
5,6,The Punisher,2
6,7,Faraway,1
7,8,Journey to the Center of the Earth,1
8,9,Creed II,2
9,10,Paul Blart: Mall Cop 2,2
0,1,We Have a Ghost,2
1,2,Fall,1
2,3,The Punisher,1
3,4,The Unholy,1
4,5,The Strays,2
5,6,All Quiet on the Western Front,11
6,7,Peter Rabbit 2,2
7,8,Evolution,1
8,9,Nocebo,2
9,10,Paul Blart: Mall Cop 2,1
0,1,We Have a Ghost,1
1,2,The Strays,1
2,3,Your Place or Mine,3
3,4,Peter Rabbit 2,1
4,5,All Quiet on the Western Front,10
5,6,Black Sea,2
6,7,Pitch Perfect 3,1
7,8,The Boss,1
8,9,Nocebo,1
9,10,Masterpiece Contemporary: Page Eight,1
0,1,Your Place or Mine,2
1,2,Black Sea,1
2,3,Cloudy with a Chance of Meatballs 2,2
3,4,Dead in Tombstone,1
4,5,Cloudy with a Chance of Meatballs,2
5,6,Can You Keep a Secret?,1
6,7,Four Good Days,3
7,8,You People,4
8,9,Sing,10
9,10,All Quiet on the Western Front,9
0,1,Your Place or Mine,1
1,2,Four Good Days,2
2,3,You People,3
3,4,Cloudy with a Chance of Meatballs,1
4,5,"Pamela, a love story",2
5,6,Cloudy with a Chance of Meatballs 2,1
6,7,The Vow,2
7,8,True Spirit,1
8,9,Viking Wolf,2
9,10,All Quiet on the Western Front,8
0,1,You People,2
1,2,"Pamela, a love story",1
2,3,Four Good Days,1
3,4,Bank Of Dave,3
4,5,Come Play,1
5,6,Viking Wolf,1
6,7,Terminator 3: Rise of the Machines,1
7,8,The Vow,1
8,9,Seven Pounds,1
9,10,All Quiet on the Western Front,7
0,1,You People,1
1,2,Bank Of Dave,2
2,3,Narvik,1
3,4,All Quiet on the Western Front,6
4,5,Vesper,1
5,6,Glass Onion: A Knives Out Mystery,6
6,7,Austin Powers: International Man of Mystery,1
7,8,Sing,9
8,9,The Equalizer 2,3
9,10,JUNG_E,2
0,1,Bank Of Dave,1
1,2,Don't Say a Word,1
2,3,The Hatchet Wielding Hitchhiker,2
3,4,The Client,1
4,5,Glass Onion: A Knives Out Mystery,5
5,6,The Equalizer 2,2
6,7,Ali,1
7,8,Dog Gone,2
8,9,All Quiet on the Western Front,5
9,10,JUNG_E,1
0,1,The Hatchet Wielding Hitchhiker,1
1,2,The Pale Blue Eye,2
2,3,Glass Onion: A Knives Out Mystery,4
3,4,The Croods,2
4,5,The Equalizer 2,1
5,6,Once Upon a Time in Hollywood,3
6,7,Knives Out,4
7,8,Daddy Day Care,1
8,9,Dog Gone,1
9,10,Unleashed,1
0,1,Glass Onion: A Knives Out Mystery,3
1,2,The Pale Blue Eye,1
2,3,The Croods,1
3,4,Knives Out,3
4,5,Acrimony,1
5,6,Bad Boys II,1
6,7,White Noise,2
7,8,Wrong Turn,1
8,9,The Angry Birds Movie 2,4
9,10,Medieval,2
0,1,Glass Onion: A Knives Out Mystery,2
1,2,Knives Out,2
2,3,Medieval,1
3,4,Big Boys Don't Cry,1
4,5,White Noise,1
5,6,The Imposter,1
6,7,The Angry Birds Movie 2,3
7,8,How the Grinch Stole Christmas,7
8,9,The Volcano: Rescue from Whakaari,3
9,10,Sing,8
0,1,Glass Onion: A Knives Out Mystery,1
1,2,How the Grinch Stole Christmas,6
2,3,The Volcano: Rescue from Whakaari,2
3,4,Knives Out,1
4,5,The Christmas Chronicles,9
5,6,Nativity!,7
6,7,Inkheart,1
7,8,The Christmas Chronicles: Part Two,3
8,9,Falling for Christmas,4
9,10,Deck the Halls,1
0,1,How the Grinch Stole Christmas,5
1,2,Guillermo del Toro’s Pinocchio,2
2,3,I Believe in Santa,1
3,4,Nativity!,6
4,5,This Is 40,1
5,6,The Volcano: Rescue from Whakaari,1
6,7,Ghost Town,1
7,8,God's Crooked Lines,1
8,9,The Christmas Chronicles,8
9,10,Shooter,2
0,1,Troll,2
1,2,How the Grinch Stole Christmas,4
2,3,Lady Chatterley's Lover,2
3,4,Shooter,1
4,5,Guillermo del Toro’s Pinocchio,1
5,6,Scrooge: A Christmas Carol,1
6,7,A Christmas Miracle for Daisy,1
7,8,Nativity!,5
8,9,The Noel Diary,3
