No,movie,week_at_Top10,hours_seen,duration,views
10,Dr. Seuss' The Lorax,1,5890000,,
1,Murder Mystery 2,2,59840000,,
2,Chupa,1,25310000,,
3,Murder Mystery,3,22250000,,
4,Noah,2,13500000,,
5,Home,1,10350000,,
6,The Bourne Legacy,2,9110000,,
7,Shark Tale,1,8050000,,
8,Over the Hedge,1,7940000,,
9,Luther: The Fallen Sun,5,7530000,,
10,Matilda,1,7420000,,
1,Murder Mystery 2,1,64420000,,
2,Murder Mystery,2,24690000,,
3,Luther: The Fallen Sun,4,12700000,,
4,I See You,2,8280000,,
5,The Magician's Elephant,3,6330000,,
6,Minions: The Rise of Gru,6,3540000,,
7,Hotel Transylvania 2,3,3260000,,
8,Dragged Across Concrete,3,3240000,,
9,Trolls,6,3210000,,
10,The Bourne Legacy,1,3200000,,
1,Luther: The Fallen Sun,3,24700000,,
2,The Magician's Elephant,2,16730000,,
3,I See You,1,10830000,,
4,Dragged Across Concrete,2,9310000,,
5,Money Shot: The Pornhub Story,2,5000000,,
6,Murder Mystery,1,4490000,,
7,Perfume: The Story of a Murderer,1,4450000,,
8,Riddick,1,3980000,,
9,Minions: The Rise of Gru,5,3810000,,
10,We Have a Ghost,5,3540000,,
1,Luther: The Fallen Sun,2,69540000,,
2,Faraway,2,14830000,,
3,The Magician's Elephant,1,13690000,,
4,Money Shot: The Pornhub Story,1,13670000,,
5,Dragged Across Concrete,1,9590000,,
6,We Have a Ghost,4,5960000,,
7,The Hunger Games: Catching Fire,2,5010000,,
8,Turbo,3,5000000,,
9,The Hunger Games,3,4900000,,
10,Kick-Ass 2,1,4030000,,
1,Luther: The Fallen Sun,1,65920000,,
2,Faraway,1,21810000,,
3,We Have a Ghost,3,13390000,,
4,The Hunger Games,2,8320000,,
5,Turbo,2,7980000,,
6,The Hunger Games: Catching Fire,1,7340000,,
7,Paw Patrol: The Movie,2,6530000,,
8,This Is Where I Leave You,2,6220000,,
9,World War Z,1,5560000,,
10,Burlesque,1,5540000,,
1,We Have a Ghost,2,42620000,,
2,The Strays,2,14570000,,
3,The Condemned,1,10230000,,
4,R.I.P.D.,1,8330000,,
5,Bad Boys for Life,2,8330000,,
6,Your Place or Mine,4,7500000,,
7,This Is Where I Leave You,1,6580000,,
8,The Hunger Games,1,6230000,,
9,The Hangover: Part III,1,5800000,,
10,Paw Patrol: The Movie,1,5620000,,
1,We Have a Ghost,1,40470000,,
2,The Strays,1,28780000,,
3,Your Place or Mine,3,22290000,,
4,Army of One,1,15600000,,
5,The Woman King,2,10230000,,
6,2 Guns,2,8550000,,
7,Jurassic World,2,7430000,,
8,Mission: Impossible - Fallout,2,6360000,,
9,Minions: The Rise of Gru,4,6270000,,
10,Bad Boys for Life,1,6070000,,
1,Your Place or Mine,2,53810000,,
2,2 Guns,1,12460000,,
3,The Woman King,1,12210000,,
4,You People,4,8500000,,
5,Minions: The Rise of Gru,3,7960000,,
6,Mission: Impossible - Fallout,1,5940000,,
7,47 Meters Down: Uncaged,1,5800000,,
8,True Spirit,3,5740000,,
9,Bloodshot,4,4620000,,
10,Jurassic World,1,4330000,,
1,Your Place or Mine,1,51230000,,
2,True Spirit,2,20730000,,
3,You People,3,20400000,,
4,Bloodshot,3,14380000,,
5,Minions: The Rise of Gru,2,11500000,,
6,"Lyle, Lyle, Crocodile",1,9110000,,
7,"Pamela, a love story",2,8710000,,
8,Sniper: Ultimate Kill,1,6760000,,
9,Enough,2,5400000,,
10,Sniper: Ghost Shooter,2,5390000,,
1,You People,2,65610000,,
2,"Pamela, a love story",1,24330000,,
3,Minions: The Rise of Gru,1,19360000,,
4,Sniper: Ghost Shooter,1,12490000,,
5,True Spirit,1,11090000,,
6,The Hurricane Heist,1,10120000,,
7,Bloodshot,2,8720000,,
8,Glass Onion: A Knives Out Mystery,7,6830000,,
9,Flushed Away,1,5090000,,
10,Inheritance,3,4790000,,
1,You People,1,55650000,,
2,Inheritance,2,11550000,,
3,Glass Onion: A Knives Out Mystery,6,9670000,,
4,Puss in Boots,2,6010000,,
5,Devotion,1,5910000,,
6,Dog Gone,3,5800000,,
7,The Pale Blue Eye,4,5460000,,
8,Sing,8,5320000,,
9,Roald Dahl's Matilda The Musical,5,4600000,,
10,Trolls,5,3790000,,
1,Dog Gone,2,20910000,,
2,The Pale Blue Eye,3,12690000,,
3,Glass Onion: A Knives Out Mystery,5,12040000,,
4,The Hatchet Wielding Hitchhiker,2,8230000,,
5,Sing,7,7090000,,
6,Roald Dahl's Matilda The Musical,4,6040000,,
7,Puss in Boots,1,5860000,,
8,A Quiet Place Part II,1,4760000,,
9,Trolls,4,4080000,,
10,Disconnect: The Wedding Planner,1,3790000,,
1,The Pale Blue Eye,2,39860000,,
2,The Hatchet Wielding Hitchhiker,1,21270000,,
3,Glass Onion: A Knives Out Mystery,4,19480000,,
4,Dog Gone,1,18880000,,
5,Sing,6,10400000,,
6,Roald Dahl's Matilda The Musical,3,8310000,,
7,Jumanji: The Next Level,3,6360000,,
8,Transformers: Dark of the Moon,1,5630000,,
9,Colombiana,1,4860000,,
10,Daddy Day Care,1,4850000,,
1,Glass Onion: A Knives Out Mystery,3,44320000,,
2,The Pale Blue Eye,1,42960000,,
3,Jumanji: The Next Level,2,17550000,,
4,Roald Dahl's Matilda The Musical,2,17500000,,
5,White Noise,2,14340000,,
6,Honest Thief,1,10200000,,
7,Sing,5,9560000,,
8,Knives Out,2,7470000,,
9,Hard Target 2,1,7460000,,
10,Trolls,3,6500000,,
1,Glass Onion: A Knives Out Mystery,2,127250000,,
2,Roald Dahl's Matilda The Musical,1,41060000,,
3,Knives Out,1,16760000,,
4,White Noise,1,14750000,,
5,The Invitation,1,12200000,,
6,Guillermo del Toro’s Pinocchio,4,10910000,,
7,Trolls,2,9980000,,
8,After Ever Happy,1,7220000,,
9,How the Grinch Stole Christmas,3,7190000,,
10,Bullet Train,5,6940000,,
1,Glass Onion: A Knives Out Mystery,1,82140000,,
2,The Volcano: Rescue from Whakaari,2,25110000,,
3,Guillermo del Toro’s Pinocchio,3,19680000,,
4,How the Grinch Stole Christmas,2,12680000,,
5,A Bad Moms Christmas,1,10890000,,
6,I Believe in Santa,2,10090000,,
7,The Christmas Chronicles,5,9840000,,
8,Falling for Christmas,6,7910000,,
9,Bullet Train,4,7250000,,
10,The Christmas Chronicles: Part Two,4,7170000,,
1,Guillermo del Toro’s Pinocchio,2,39380000,,
2,I Believe in Santa,1,19960000,,
3,Prisoners,1,19000000,,
4,Bullet Train,3,13530000,,
5,Lady Chatterley's Lover,3,11090000,,
6,The Volcano: Rescue from Whakaari,1,8940000,,
7,How the Grinch Stole Christmas,1,7530000,,
8,Falling for Christmas,5,6400000,,
9,Scrooge: A Christmas Carol,3,5680000,,
10,The Noel Diary,4,5560000,,
1,Lady Chatterley's Lover,2,29030000,,
2,Guillermo del Toro’s Pinocchio,1,28080000,,
3,Bullet Train,2,24620000,,
4,Scrooge: A Christmas Carol,2,13050000,,
5,The Swimmers,3,11720000,,
6,The Noel Diary,3,11580000,,
7,The Boss Baby: Christmas Bonus,1,10400000,,
8,Slumberland,4,10380000,,
9,A Christmas Miracle for Daisy,1,9780000,,
10,Emily the Criminal,1,9590000,,
1,The Noel Diary,2,27630000,,
2,The Swimmers,2,27040000,,
3,Lady Chatterley's Lover,1,20000000,,
4,Slumberland,3,17830000,,
5,Bullet Train,1,11320000,,
6,Christmas on Mistletoe Farm,2,11110000,,
7,Falling for Christmas,4,9080000,,
8,Angel Falls Christmas,1,8820000,,
9,Scrooge: A Christmas Carol,1,8170000,,
10,Ghislaine Maxwell: Filthy Rich,2,7610000,,
1,Slumberland,2,45430000,,
2,The Noel Diary,1,36270000,,
3,The Swimmers,1,22480000,,
4,The Wonder,2,16860000,,
5,Falling for Christmas,3,14980000,,
6,Christmas with You,2,13800000,,
7,Christmas on Mistletoe Farm,1,13470000,,
8,Enola Holmes 2,4,9670000,,
9,Where the Crawdads Sing,3,9640000,,
10,Ghislaine Maxwell: Filthy Rich,1,7290000,,
1,Falling for Christmas,2,37850000,,
2,Slumberland,1,33370000,,
3,The Wonder,1,26180000,,
4,Enola Holmes 2,3,21420000,,
5,Where the Crawdads Sing,2,20330000,,
6,Christmas with You,1,17930000,,
7,Minions & More Volume 2,2,10500000,,
8,The Good Nurse,4,8800000,,
9,Enola Holmes,3,7610000,,
10,I Am Vanessa Guillen,1,7500000,,
1,Enola Holmes 2,2,62860000,,
2,Falling for Christmas,1,48360000,,
3,Enola Holmes,2,18650000,,
4,Medieval,1,18230000,,
5,The Good Nurse,3,15060000,,
6,Minions & More Volume 2,1,13510000,,
7,The Bad Guys,2,12190000,,
8,Where the Crawdads Sing,1,10830000,,
9,The School for Good and Evil,4,8850000,,
10,Hotel Transylvania 2,2,7920000,,
1,Enola Holmes 2,1,64080000,,
2,The Good Nurse,2,36780000,,
3,The School for Good and Evil,3,19030000,,
4,War,1,16760000,,
5,Wild Is the Wind,2,16390000,,
6,The Bad Guys,1,15910000,,
7,Hotel Transylvania 2,1,10370000,,
8,Enola Holmes,1,9640000,,
9,Oblivion,1,5860000,,
10,The Curse of Bridge Hollow,4,5030000,,
1,The Good Nurse,1,68310000,,
2,The School for Good and Evil,2,41950000,,
3,The Stranger,2,9170000,,
4,Wild Is the Wind,1,8890000,,
5,The Curse of Bridge Hollow,3,8170000,,
6,Luckiest Girl Alive,4,8020000,,
7,Sing,4,5420000,,
8,The Boss Baby,4,4210000,,
9,Hubie Halloween,1,3960000,,
10,Blade of the 47 Ronin,1,3940000,,
1,The School for Good and Evil,1,78830000,,
2,The Curse of Bridge Hollow,2,25340000,,
3,Luckiest Girl Alive,3,19300000,,
4,The Stranger,1,17040000,,
5,Blackout,2,12120000,,
6,Black and Blue,2,9200000,,
7,Sing,3,7300000,,
8,Mr. Harrigan's Phone,3,5770000,,
9,The Boss Baby,3,5190000,,
10,Charlie's Angels,1,4920000,,
1,Luckiest Girl Alive,2,57010000,,
2,The Curse of Bridge Hollow,1,25120000,,
3,Blackout,1,21090000,,
4,Mr. Harrigan's Phone,2,20080000,,
5,Sing,2,12310000,,
6,The Redeem Team,2,10290000,,
7,The Boss Baby,2,7390000,,
8,Running with the Devil,1,6160000,,
9,Blonde,3,6090000,,
10,Black and Blue,1,5600000,,
1,Luckiest Girl Alive,1,43080000,,
2,Mr. Harrigan's Phone,1,35420000,,
3,Last Seen Alive,2,18810000,,
4,Blonde,2,17410000,,
5,Lou,3,12600000,,
6,The Boss Baby,1,8510000,,
7,Sing,1,8420000,,
8,Marauders,2,8350000,,
9,The Redeem Team,1,7850000,,
10,Minions & More Volume 1,3,7090000,,
1,Luckiest Girl Alive,1,43080000,,
2,Mr. Harrigan's Phone,1,35420000,,
3,Last Seen Alive,2,18810000,,
4,Blonde,2,17410000,,
5,Lou,3,12600000,,
6,The Boss Baby,1,8510000,,
7,Sing,1,8420000,,
8,Marauders,2,8350000,,
9,The Redeem Team,1,7850000,,
10,Minions & More Volume 1,3,7090000,,
1,Do Revenge,2,42550000,,
2,Lou,1,40570000,,
3,Father Stu,1,13770000,,
4,I Used to Be Famous,1,11630000,,
5,A Jazzman's Blues,1,7820000,,
6,Me Time,5,6230000,,
7,Minions & More Volume 1,1,5660000,,
8,End of the Road,3,5540000,,
9,This Is the End,2,5320000,,
10,Dolittle,2,5130000,,
1,End of the Road,2,27190000,,
2,Do Revenge,1,26670000,,
3,Love in the Villa,3,8870000,,
4,Me Time,4,7910000,,
